feature,importance
lighting_score,0.11971360405667714
hour,0.10498683395902325
complaint_severity,0.06423949178455528
complaint_type_count,0.06372528281085242
complaint_type_share,0.059663338201865604
time_bucket_late_night,0.0497322110292454
crowd_density_low,0.03953140586989184
area_context_industrial,0.036645848354598616
crowd_density_high,0.03395535139064964
women_crime_2023,0.030463182613750042
women_crime_rate_2023,0.027665158998549072
time_bucket_afternoon,0.026031632622398694
women_crime_growth_21_23,0.02363237334280075
time_bucket_evening,0.022085166322371945
women_crime_2021,0.01816316133086487
time_bucket_morning,0.01719538690795351
crowd_density_medium,0.016479507687559774
women_crime_2022,0.015814025442818257
area_context_transit,0.014445112273389212
nearest_police_station_km,0.014287959245057604
police_station_count_5km,0.014266082459783678
education_poi_count_5km,0.010410179853957488
longitude,0.010241693544942292
city_Vasai Virar,0.010002615922449207
industrial_landuse_count_5km,0.007346573326425283
latitude,0.006787687044800592
area_context_educational,0.006124254622370234
bus_stop_count_3km,0.0060817723887732055
police_access_score,0.005507538520932113
residential_landuse_count_5km,0.005396675351123338
road_density_km_per_sqkm_5km,0.005299917115227149
area_context_commercial,0.005217266463267901
complaint_type_clean_pocso_child_rape,0.0051620899525545915
area_context_market,0.005143152038437251
commercial_landuse_count_5km,0.004995750234209128
area_context_residential,0.004844765377446601
chargesheeting_rate_2023,0.004801431681340503
road_length_km_5km,0.004779992502427986
area_context_mixed,0.0046632099156865845
retail_landuse_count_5km,0.004436441220356731
complaint_type_clean_rape_women_18_and_above,0.003938435924872387
public_transport_count_3km,0.0038473410282913153
population_lakhs,0.003827282288053533
complaint_type_clean_cruelty_by_husband_or_relatives,0.003191002592648772
railway_station_count_3km,0.0029240660887349433
transport_access_score,0.002711657108825831
complaint_type_clean_assault_women_18_and_above,0.002421607437417383
bus_station_count_3km,0.002257151152436392
urban_density_score,0.0019913955402170998
complaint_type_clean_human_trafficking,0.001722378897782685
complaint_type_clean_attempt_rape_women_18_and_above,0.0016289291007333612
complaint_type_clean_kidnapping_and_abduction_sec_363,0.001433216419157915
complaint_type_clean_insult_modesty_women_18_and_above,0.0013241935559661227
complaint_type_clean_murder_with_rape_gang_rape_ipc,0.001158388963794011
complaint_type_clean_acid_attack,0.0011217652039315412
complaint_type_clean_attempt_rape_girls_below_18,0.0010804898395693754
complaint_type_clean_selling_of_minor_girls,0.0010512956205236202
complaint_type_clean_attempt_to_acid_attack,0.0010438276544462574
city_Madurai,0.0010434375505360312
complaint_type_clean_buying_of_minor_girls,0.0010248611232100758
complaint_type_clean_rape_girls_below_18,0.0010121416815530172
complaint_type_clean_itp_other_sections,0.0010119468842246047
complaint_type_clean_pocso_child_pornography,0.0010005585676144918
complaint_type_clean_pocso_sexual_assault,0.0009218543071053926
complaint_type_clean_domestic_violence_act,0.0009109289093958487
city_Bhopal,0.0008992403136783588
complaint_type_clean_indecent_representation_of_women_act,0.0008893612904850612
lighting_data_available,0.0008757425545785238
complaint_type_clean_insult_modesty_girls_below_18,0.0008611015919585046
complaint_type_clean_itp_seducing_soliciting,0.0008481781691174503
complaint_type_clean_pocso_unnatural_offences,0.0008383634471305114
complaint_type_clean_dowry_prohibition_act,0.0008341729537032491
complaint_type_clean_pocso_other_offences,0.0008321081306799317
complaint_type_clean_itp_prostitution_near_public_places,0.0008228438169291673
complaint_type_clean_itp_detaining_in_premises,0.0008039054718029658
complaint_type_clean_itp_procuring_inducing_children,0.0008020891578012946
complaint_type_clean_cyber_publishing_explicit_material,0.0007852598944834306
complaint_type_clean_cyber_other_women_centric,0.0007617977058132913
city_Rajkot,0.00073759206171935
complaint_type_clean_abetment_to_suicide_of_women,0.0006784448891904948
city_Dhanbad,0.0006573546989758817
complaint_type_clean_dowry_deaths,0.0006454747543684283
complaint_type_clean_kna_for_marriage_girls_below_18,0.0006296912716208462
complaint_type_clean_procuration_of_minor_girls,0.0006118584870030111
street_light_count_2km,0.000603137172609446
complaint_type_clean_assault_girls_below_18,0.0005954280403161921
complaint_type_clean_kidnapping_and_abduction_to_murder,0.0005785427703075771
city_Jamshedpur,0.0005755119213301192
complaint_type_clean_kna_for_marriage_women_above_18,0.0005270957900362058
complaint_type_clean_importation_of_girls_foreign_country,0.0005174961519216308
complaint_type_clean_kidnapping_for_ransom,0.0005168801114471196
complaint_type_clean_kidnapping_abduction_others,0.0005146012312308833
city_Nasik,0.0004449351850114486
complaint_type_clean_miscarriage,0.00044124085285523974
complaint_type_clean_pocso_sexual_harassment,0.0004231814121597631
city_Asansol,0.0004095514990613813
city_Vijayawada,0.0003789867786953402
city_Raipur,0.000346422652929749
city_Aurangabad,0.00034478354028611894
city_Varanasi,0.00030086522991498303
city_Durg-Bhilainagar,0.00028343174295851963
city_Vadodara,0.00027052067161284195
city_Vishakhapatnam,0.00023926436378745374
city_Malappuram,0.00021428568846462815
city_Amritsar,0.00016811010763400836
city_Ludhiana,0.00013565468099465127
city_Chandigarh City,0.00012613431375013606
city_Srinagar,9.323096517833869e-05
city_Kannur,8.951772055945195e-05
is_weekend,7.586291922226009e-05
day_of_week_Thursday,6.006362584842968e-05
day_of_week_Monday,5.866680200291674e-05
day_of_week_Friday,5.814956263365043e-05
day_of_week_Wednesday,5.788134337599339e-05
day_of_week_Saturday,5.731728176266048e-05
day_of_week_Sunday,5.688269215879303e-05
day_of_week_Tuesday,5.6507294475541004e-05
