threshold,accuracy,macro_f1,weighted_f1,high_precision,high_recall,high_f1
0.2,0.833819,0.766774,0.831308,0.936561,0.494709,0.647432
0.25,0.833252,0.764822,0.830555,0.935811,0.488536,0.641947
0.3,0.832443,0.762007,0.829472,0.934708,0.479718,0.634033
0.35,0.831714,0.758168,0.828218,0.947748,0.463845,0.622854
0.4,0.830985,0.755402,0.82719,0.948529,0.455026,0.615018
0.45,0.829608,0.750378,0.825286,0.946869,0.440035,0.600843
0.5,0.829608,0.750223,0.825252,0.948571,0.439153,0.600362
0.55,0.830175,0.750606,0.825669,0.968627,0.435626,0.600973
0.6,0.830175,0.750292,0.8256,0.972332,0.433862,0.6
0.65,0.829446,0.747235,0.824501,0.975659,0.424162,0.591272
0.7,0.829446,0.747235,0.824501,0.975659,0.424162,0.591272
